"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"216347_s_at",0.0395274192271682,6.78095446834577,0.839758115280729,0.403832876461447,0.835922594987784,-5.18076271923
"206794_at",-0.0500435443081804,3.86448056295676,-0.839683930799848,0.403874204722601,0.835922594987784,-5.18081441736415
"61734_at",-0.0335491458763384,5.09384183366161,-0.839682822897867,0.403874821955683,0.835922594987784,-5.18081518941183
"206719_at",-0.0509382705483112,5.01889193435755,-0.839533500983088,0.403958017284972,0.835981567268939,-5.18091923611313
"206635_at",-0.0392553430453422,7.26013645123556,-0.839460787985231,0.403998533427334,0.835981567268939,-5.18096989558972
"214608_s_at",0.0668959791276524,5.90447317037244,0.839369129398194,0.404049609709887,0.835981567268939,-5.18103374843546
"203714_s_at",0.0496413943598979,6.90483396003503,0.839270900467647,0.404104351663168,0.835981567268939,-5.18110217086818
"221175_at",-0.0613739230630124,6.21176165198469,-0.839262511585627,0.404109026909207,0.835981567268939,-5.18110801387277
"209651_at",-0.053741963920916,5.1177944748226,-0.839227726122983,0.404128413706458,0.835981567268939,-5.18113224195326
"220241_at",-0.0323238102623993,3.40142591266092,-0.839029308350507,0.404239007695638,0.836076388239655,-5.18127042120175
"220038_at",0.112009791268199,5.30387833963049,0.838864954417485,0.404330629200408,0.836076388239655,-5.18138485402458
"217250_s_at",0.0555798341015157,6.65149139847792,0.838845760429872,0.404341329996832,0.836076388239655,-5.181398216573
"210296_s_at",0.0540880080741459,7.14964515004645,0.838833994489173,0.404347889685226,0.836076388239655,-5.18140640768579
"208807_s_at",-0.0441908047432031,7.8331573887529,-0.838808943961493,0.40436185594663,0.836076388239655,-5.18142384677563
"219892_at",-0.119737246805258,7.80481440357592,-0.838603276562042,0.404476531524713,0.836235902019407,-5.18156700424865
"220154_at",-0.0470167818947518,4.02218972099552,-0.838248515680448,0.404674384995925,0.836505366149419,-5.18181385955887
"207065_at",-0.0740122887766415,5.16241151980123,-0.83819638078671,0.404703466095064,0.836505366149419,-5.18185012828014
"203489_at",-0.0422614906967391,6.71210531527696,-0.838167658521064,0.404719488060714,0.836505366149419,-5.18187010857878
"211786_at",-0.0384804823249163,3.79834754803022,-0.838010999551801,0.404806882991766,0.836546570609647,-5.18197907472933
"201656_at",0.0565504376421266,4.5030910863044,0.837997333269006,0.404814507511727,0.836546570609647,-5.18198857954323
"215286_s_at",-0.0296186890335863,3.42901160679489,-0.837838571289195,0.404903088416631,0.83661990573711,-5.18209898640211
"214564_s_at",0.0600016309388698,5.32897345438858,0.83779914933907,0.40492508564263,0.83661990573711,-5.18212639819598
"213324_at",0.0437898911026524,7.40481974642046,0.837727302871947,0.404965177442692,0.836625166786159,-5.18217635292262
"210445_at",0.069097823807418,5.97624523033364,0.837426987382536,0.405132785867416,0.836893841427981,-5.18238511644658
"209006_s_at",-0.0964764411382415,7.38883177343584,-0.837314136766273,0.405195779621887,0.836946380915324,-5.18246354534698
"206777_s_at",-0.0868504802279935,6.16394430351778,-0.837079747720027,0.405326635809515,0.837101650455759,-5.182626407995
"213515_x_at",-0.0972567938340108,6.95210750655899,-0.836967036413513,0.405389570165286,0.837101650455759,-5.18270470833885
"205460_at",-0.0471121484551551,5.32925990105905,-0.836889608293367,0.405432806983045,0.837101650455759,-5.18275849154516
"220930_s_at",-0.0379044541233635,3.99703706997011,-0.836862436059716,0.405447980960523,0.837101650455759,-5.18277736479939
"211242_x_at",-0.0541339635457563,4.5030436578047,-0.836843088927811,0.405458785323745,0.837101650455759,-5.18279080253974
"213447_at",0.0403209533959714,8.73878947932383,0.836652368040274,0.40556530238386,0.837139851907628,-5.18292325335501
"220808_at",-0.0437126553979201,5.8580521897278,-0.836590404746618,0.405599912376397,0.837139851907628,-5.18296627893946
"219179_at",-0.0442183010910417,5.57205064506038,-0.836439992174197,0.405683933771714,0.837139851907628,-5.18307070828246
"216844_at",-0.0291170796160127,3.55590266541383,-0.836323743043692,0.405748878529152,0.837139851907628,-5.18315140585331
"201578_at",0.0726711811417013,7.5537600204402,0.836321520212427,0.405750120417316,0.837139851907628,-5.18315294878672
"201604_s_at",0.0756694752124147,6.63762546880717,0.836160875554654,0.40583987817146,0.837139851907628,-5.18326444641809
"201997_s_at",0.0506852114215874,7.98800415088602,0.836072411650759,0.405889311199028,0.837139851907628,-5.18332583706764
"222345_at",-0.0353270566741406,4.74678242436172,-0.836009691690271,0.405924360910488,0.837139851907628,-5.18336935853477
"218728_s_at",-0.0573031831994371,4.36748610108879,-0.835924748825685,0.405971832359842,0.837139851907628,-5.18342829541831
"217192_s_at",-0.0538478791773223,5.19099143983317,-0.835845729489588,0.406015996405581,0.837139851907628,-5.18348311705697
"219056_at",0.0569325744706282,4.55343477100039,0.835828100674168,0.406025849581122,0.837139851907628,-5.18349534679705
"215661_at",-0.048827644832536,4.86236729056284,-0.835797217479211,0.406043111304552,0.837139851907628,-5.18351677096682
"203397_s_at",-0.0296438090058846,4.50010735874613,-0.835736068797885,0.406077290811939,0.837139851907628,-5.18355918850936
"202331_at",-0.0316296521816142,8.00143043532325,-0.83549705879558,0.406210904045674,0.837139851907628,-5.18372495557684
"201501_s_at",0.0820282246085711,7.75308065165556,0.835489873686403,0.406214921136268,0.837139851907628,-5.18372993814233
"37953_s_at",-0.0397375453476938,6.85327262467841,-0.835472272205281,0.406224761972044,0.837139851907628,-5.18374214383865
"210287_s_at",-0.0363528262562784,3.36115280846401,-0.83546736047838,0.406227508101983,0.837139851907628,-5.18374554981666
"207847_s_at",0.0442528795990675,5.41493581917673,0.835418991284987,0.406254551759231,0.837139851907628,-5.18377908980731
"220747_at",-0.0623127730833817,6.6802067699539,-0.835389849725195,0.406270845600878,0.837139851907628,-5.18379929612581
"211536_x_at",-0.0436289050817011,6.95829433786689,-0.835361458846369,0.406286720099369,0.837139851907628,-5.1838189812709
"214341_at",-0.0399073654250781,5.26301319120368,-0.835297624526756,0.406322413852077,0.837139851907628,-5.18386323914875
"205174_s_at",0.094032716556943,5.84404321138687,0.835231188983028,0.40635956414117,0.837139851907628,-5.18390929700772
"204442_x_at",-0.0483133266406357,5.83974528544392,-0.835222680064122,0.406364322418362,0.837139851907628,-5.18391519573872
"213433_at",-0.0481830140578392,7.34955459049979,-0.835185259307148,0.406385248903372,0.837139851907628,-5.18394113664264
"209440_at",-0.0594945373449409,8.53074767865865,-0.835129374371132,0.406416502173707,0.837139851907628,-5.18397987521247
"207930_at",-0.040688925712133,4.36249555772853,-0.835017976609104,0.406478804984263,0.837190795033213,-5.18405708685238
"206743_s_at",-0.0427899590028842,5.46984810658551,-0.834904170516277,0.406542460741836,0.837244515037924,-5.18413595735021
"214574_x_at",-0.0429112551434416,6.62761245383228,-0.834529939058108,0.406751824406586,0.837446715379786,-5.18439523512081
"219648_at",0.0773132104681098,6.04731180811795,0.834527019309026,0.406753458117427,0.837446715379786,-5.184397257556
"213724_s_at",-0.0542344231228817,7.53655970187338,-0.834495668177122,0.406771000521962,0.837446715379786,-5.18441897324382
"220956_s_at",-0.0310815513624956,8.10995825970216,-0.834437313509818,0.406803653877521,0.837446715379786,-5.18445939108804
"216614_at",0.0491677100074326,3.98315601833761,0.834288563666715,0.406886896627491,0.837446715379786,-5.1845624063054
"205386_s_at",-0.0325620632620738,3.10768925225627,-0.834286890297137,0.406887833130417,0.837446715379786,-5.18456356507867
"209325_s_at",-0.0741985981594508,5.71568870931652,-0.834220420626316,0.406925034008752,0.837446715379786,-5.18460959209159
"219962_at",-0.0244807597876555,3.21550077247785,-0.834191354384559,0.40694130207478,0.837446715379786,-5.1846297179233
